
2024/04/03 (11:50:10) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (11:50:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (11:57:59) | ===> btop++ v.1.3.2
2024/04/03 (11:57:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (11:57:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (11:57:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (11:57:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (11:57:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (11:57:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (11:58:51) | ===> btop++ v.1.3.2
2024/04/03 (11:58:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (11:58:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (11:58:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (11:58:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (11:58:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (11:58:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (12:06:33) | ===> btop++ v.1.3.2
2024/04/03 (12:06:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:06:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (12:06:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:06:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (12:06:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (12:06:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (12:06:48) | ===> btop++ v.1.3.2
2024/04/03 (12:06:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:06:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (12:06:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:06:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (12:06:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (12:06:48) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/04/03 (12:07:46) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/04/03 (19:30:56) | ===> btop++ v.1.3.2
2024/04/03 (19:30:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
